Player,GP,GS,MIN,PTS,FGM,FGA,FGP,3PMade,3PA,3P,FTM,FTA,FTP,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,NBA_PTS
Cam Thomas,29,29,33.9,23.03,7,17.24,0.41,2.34,7.21,0.33,6.69,7.59,0.88,0.62,2.76,3.38,1.45,0.86,0.21,1.69,1.38,8.51
Jaden Springer,25,15,26,12.52,4.24,9.08,0.47,0.8,1.84,0.44,3.24,4,0.81,1.04,2.48,3.52,2.92,1.2,0.44,2.4,2.04,1
Jason Preston,20,19,34.5,15.7,6.35,12.35,0.51,1.6,4.1,0.39,1.4,2.35,0.6,1.05,6.2,7.25,7.25,1.45,0.25,3,1.35,3.15
Herbert Jones,33,33,27.3,11.21,3.91,8.76,0.45,0.61,1.73,0.35,2.79,3.91,0.71,2.48,4.09,6.58,3.27,1.73,1.12,2.82,2.85,9.51
Miles McBride,29,28,34.2,15.79,5.38,12.52,0.43,1.59,3.83,0.41,3.45,4.24,0.81,1.17,2.72,3.9,4.86,1.9,0.31,1.83,1.69,2.23
Ayo Dosunmu,28,28,35.2,20.14,7.5,15.36,0.49,1.14,2.96,0.39,4,5.11,0.78,1.11,5.21,6.32,5.25,1.11,0.21,3.32,2.07,8.82
Jared Butler,30,30,30.4,16.73,5.9,12.53,0.47,2.57,6.17,0.42,2.37,3.03,0.78,0.43,2.87,3.3,4.8,1.97,0.37,2.83,2.43,3.83
Joe Wieskamp,31,31,29.3,14.84,5.19,10.58,0.49,2.35,5.1,0.46,2.1,3.1,0.68,1.19,5.45,6.65,1.71,0.94,0.32,1.39,1.55,2.03
Dalano Banton,27,22,741,258,90,219,0.41,20,81,0.25,58,88,0.66,27,132,159,105,26,25,67,56,3.2
David Johnson,19,19,35.1,12.63,4.74,11.53,0.41,1.68,4.37,0.39,1.47,2.11,0.7,0.89,4.89,5.79,3.16,1.05,0.26,3.21,2.74,1.5
Sharife Cooper,12,12,33.3,20.17,6,15.33,0.39,1.08,4.75,0.23,7.08,8.58,0.83,0.67,3.58,4.25,8.08,1,0.25,4.17,2.67,1.3
Marcus Zegarowski,29,29,33.6,15.83,5.59,12.03,0.46,2.76,6.55,0.42,1.9,2.41,0.79,0.31,3.31,3.62,4.31,1.28,0.07,2.14,1.9,8
Filip Petrušev,33,33,25.9,17.45,6.33,11.27,0.56,0.06,0.33,0.18,4.73,7.21,0.66,2.36,5.58,7.94,1.45,0.61,0.79,2.09,1.7,4.25
Brandon Boston Jr.,25,24,30.3,11.48,4.12,11.6,0.36,1.2,4,0.3,2.04,2.6,0.79,1.32,3.16,4.48,1.6,1.32,0.16,1.44,1.96,6.73
Aaron Wiggins,31,30,33,14.45,5.32,11.94,0.45,1.84,5.16,0.36,1.97,2.55,0.77,1.13,4.71,5.84,2.55,1.13,0.55,1.97,2.03,8.32
Scottie Lewis,21,9,25.7,7.86,2.71,6.1,0.45,0.67,2.1,0.32,1.76,2.62,0.67,0.81,2.29,3.1,1.48,1.57,1.05,1.86,2.48,0.5
